library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL6042885,active,533.0570000000004,5.806300000000004,3,5,103.01,7,4,37,0,0.26070530276998455,0.18518518518518517,2
fpr2_actives_chembl,CHEMBL6030984,active,365.27100000000013,3.1713000000000005,2,2,72.19,3,1,22,0,0.8637205188716902,0.5294117647058824,0
fpr2_actives_chembl,CHEMBL5960931,active,412.27100000000013,3.0134000000000007,2,2,72.19,3,1,22,0,0.7497680214875102,0.5294117647058824,0
fpr2_actives_chembl,CHEMBL5876324,active,601.7290000000003,5.594080000000005,3,6,146.62,8,3,43,0,0.22646298879461088,0.3125,2
fpr2_actives_chembl,CHEMBL5556377,active,398.53200000000027,3.788100000000002,3,4,87.46000000000001,6,2,28,0,0.6462546892772046,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL5980129,active,377.2820000000002,3.1860000000000017,2,2,58.2,3,1,23,0,0.8502284352565436,0.5555555555555556,0
fpr2_actives_chembl,CHEMBL5890881,active,391.3090000000002,3.576100000000002,2,2,58.2,4,1,24,0,0.8245820241566669,0.5789473684210527,0
fpr2_actives_chembl,CHEMBL5850339,active,405.3360000000002,3.9646000000000026,2,2,58.2,4,1,25,0,0.7967983626367071,0.6,0
fpr2_actives_chembl,CHEMBL6016577,active,387.20900000000006,2.7353000000000005,3,3,90.53999999999999,4,1,23,0,0.6943438844102837,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL5753169,active,410.2110000000001,3.108600000000001,3,2,78.43,5,2,22,0,0.6634015108832821,0.125,0
fpr2_actives_chembl,CHEMBL5789922,active,381.2300000000003,2.7403000000000004,3,3,90.53999999999999,2,1,23,0,0.6884455963137414,0.4,0
fpr2_actives_chembl,CHEMBL5780962,active,434.2900000000001,2.7728,4,3,107.53,8,2,27,0,0.5126337876665453,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5740995,active,404.23600000000016,2.3251999999999997,4,3,107.53000000000002,7,1,24,0,0.5596008214453682,0.4,0
